rank,code,city,state,lat,lon,traffic
1,ATL,Atlanta,GA,33.64044444,-84.42694444,45396001
2,DFW,Dallas-Fort Worth,TX,32.89595056,-97.0372,35345138
3,DEN,Denver,CO,39.85840806,-104.6670019,33773832
4,ORD,Chicago,IL,41.979595,-87.90446417,33120474
5,LAX,Los Angeles,CA,33.94253611,-118.4080744,32326616
6,JFK,New York,NY,40.63975111,-73.77892556,26919982
7,LAS,Las Vegas,NV,36.08036111,-115.1523333,25480500
8,MCO,Orlando,FL,28.42888889,-81.31602778,24469733
9,MIA,Miami,FL,25.79325,-80.29055556,23949892
10,CLT,Charlotte,NC,35.21401111,-80.94312583,23100300
11,SEA,Seattle,WA,47.44898194,-122.3093131,22157862
12,PHX,Phoenix,AZ,33.43416667,-112.0080556,21852586
13,EWR,Newark,NJ,40.69249722,-74.16866056,21572147
14,SFO,San Francisco,CA,37.61900194,-122.3748433,20411420
15,IAH,Houston,TX,29.98047222,-95.33972222,19814052
16,BOS,Boston,MA,42.3643475,-71.00517917,17443775
17,FLL,Ft. Lauderdale,FL,26.07258333,-80.15275,15370165
18,MSP,Minneapolis,MN,44.88054694,-93.2169225,15242089
19,LGA,New York,NY,40.77724306,-73.87260917,14367463
20,DTW,Detroit,MI,42.21205889,-83.34883583,13751197
21,PHL,Philadelphia,PA,39.87195278,-75.24114083,12421168
22,SLC,Salt Lake City,UT,40.78838778,-111.9777731,12383843
23,DCA,Arlington,VA,38.85208333,-77.03772222,11553850
24,SAN,San Diego,CA,32.73355611,-117.1896567,11162224
25,BWI,Baltimore,MD,39.17540167,-76.66819833,11151169
26,TPA,Tampa,FL,27.97547222,-82.53325,10539459
27,AUS,Austin,TX,30.19453278,-97.66987194,10382573
28,IAD,Chantilly,VA,38.94453194,-77.45580972,10266324
29,BNA,Nashville,TN,36.12447667,-86.67818222,9829062
30,MDW,Chicago,IL,41.7859825,-87.75242444,9650281
31,HNL,Honolulu,HI,21.31869111,-157.9224072,8828395
32,DAL,Dallas,TX,32.84711389,-96.85177222,7819129
33,PDX,Portland,OR,45.58872222,-122.5975,7241882
34,STL,St Louis,MO,38.74768694,-90.35998972,6709080
35,HOU,Houston,TX,29.64541861,-95.27888889,6462948
36,SMF,Sacramento,CA,38.69542167,-121.5907669,6040824
37,MSY,New Orleans,LA,29.99338889,-90.25802778,5931899
38,RDU,Raleigh,NC,35.87763889,-78.78747222,5849665
39,SJC,San Jose,CA,37.36186194,-121.9290089,5590137
40,SNA,Santa Ana,CA,33.67565861,-117.8682225,5536313
41,OAK,Oakland,CA,37.72129083,-122.2207167,5506232
42,RSW,Ft. Myers,FL,26.53616667,-81.75516667,5132694
43,MCI,Kansas City,MO,39.29760528,-94.71390556,4796476
44,SAT,San Antonio,TX,29.53369444,-98.46977778,4751610
45,CLE,Cleveland,OH,41.41089417,-81.84939667,4237795
46,IND,Indianapolis,IN,39.71732917,-86.29438417,4209416
47,OGG,Kahului,HI,20.89864972,-156.4304578,4125311
48,PIT,Pittsburgh,PA,40.49146583,-80.23287083,3918968
49,CVG,Covington,KY,39.04614278,-84.6621725,3702997
50,CMH,Columbus,OH,39.99798528,-82.89188278,3618555
51,PBI,West Palm Beach,FL,26.68316194,-80.09559417,3257730
52,JAX,Jacksonville,FL,30.49405556,-81.68786111,3177393
53,BUR,Burbank,CA,34.20061917,-118.3584969,3054729
54,BDL,Windsor Locks,CT,41.93887417,-72.68322833,2844713
55,ONT,Ontario,CA,34.056,-117.6011944,2840758
56,MKE,Milwaukee,WI,42.94722222,-87.89658333,2660187
57,CHS,Charleston,SC,32.89864639,-80.04050583,2608497
58,ANC,Anchorage,AK,61.17432028,-149.9961856,2604308
59,ABQ,Albuquerque,NM,35.04022222,-106.6091944,2317836
60,BOI,Boise,ID,43.56444444,-116.2227778,2230467
61,OMA,Omaha,NE,41.30251861,-95.89417306,2204395
62,MEM,Memphis,TN,35.04241667,-89.97666667,2163692
63,RNO,Reno,NV,39.49857611,-119.7680647,2132856
